"Time Stamp","Current Quantity","Openeing Quantity","Stock","City","Product"
"2024-02-12 04:55:00","0","0","31","Pune","Insulated Door Bag"
"2024-02-12 23:55:00","1","1","20","Pune","Insulated Door Bag"
"2024-02-13 04:55:00","1","1","19","Pune","Insulated Door Bag"
"2024-02-13 23:55:00","2","2","18","Pune","Insulated Door Bag"
"2024-02-14 04:55:00","0","0","18","Pune","Insulated Door Bag"
"2024-02-14 23:55:00","1","1","17","Pune","Insulated Door Bag"
"2024-02-15 04:55:00","0","0","17","Pune","Insulated Door Bag"
"2024-02-15 23:55:00","2","2","15","Pune","Insulated Door Bag"
"2024-02-16 04:55:00","0","0","15","Pune","Insulated Door Bag"
"2024-02-16 23:55:00","1","1","14","Pune","Insulated Door Bag"
"2024-02-17 04:55:00","0","0","14","Pune","Insulated Door Bag"
"2024-02-17 23:55:00","0","0","14","Pune","Insulated Door Bag"
"2024-02-18 04:55:00","0","0","14","Pune","Insulated Door Bag"
"2024-02-18 23:55:00","2","2","12","Pune","Insulated Door Bag"
"2024-02-19 04:55:00","0","0","12","Pune","Insulated Door Bag"
"2024-02-19 23:55:00","0","0","5","Pune","Insulated Door Bag"
"2024-02-20 04:55:00","0","0","5","Pune","Insulated Door Bag"
"2024-02-20 23:55:00","0","0","5","Pune","Insulated Door Bag"
"2024-02-21 04:55:00","0","0","5","Pune","Insulated Door Bag"
"2024-02-21 23:55:00","1","1","4","Pune","Insulated Door Bag"
"2024-02-22 04:55:00","0","0","4","Pune","Insulated Door Bag"
"2024-02-22 23:55:00","0","0","4","Pune","Insulated Door Bag"
"2024-02-23 04:55:00","0","0","4","Pune","Insulated Door Bag"
"2024-02-23 23:55:00","0","0","4","Pune","Insulated Door Bag"
"2024-02-24 04:55:00","1","1","3","Pune","Insulated Door Bag"
"2024-02-24 23:55:00","2","2","2","Pune","Insulated Door Bag"
"2024-02-25 04:55:00","0","0","2","Pune","Insulated Door Bag"
"2024-02-25 23:55:00","1","1","1","Pune","Insulated Door Bag"
"2024-02-26 04:55:00","0","0","1","Pune","Insulated Door Bag"
"2024-02-26 23:55:00","1","1","0","Pune","Insulated Door Bag"
"2024-02-27 04:55:00","0","0","0","Pune","Insulated Door Bag"
"2024-02-27 23:55:00","0","0","0","Pune","Insulated Door Bag"
"2024-02-28 04:55:00","0","0","0","Pune","Insulated Door Bag"
"2024-02-28 23:55:00","0","0","0","Pune","Insulated Door Bag"
"2024-02-29 04:55:00","0","0","0","Pune","Insulated Door Bag"
"2024-02-29 23:55:00","0","0","40","Pune","Insulated Door Bag"
"2024-03-01 04:55:00","0","0","40","Pune","Insulated Door Bag"
"2024-03-01 23:55:00","0","0","20","Pune","Insulated Door Bag"
"2024-03-02 04:55:00","1","1","19","Pune","Insulated Door Bag"
"2024-03-02 23:55:00","1","1","14","Pune","Insulated Door Bag"
"2024-03-03 04:55:00","0","0","14","Pune","Insulated Door Bag"
"2024-03-03 23:55:00","1","1","13","Pune","Insulated Door Bag"
"2024-03-04 04:55:00","0","0","13","Pune","Insulated Door Bag"
"2024-03-04 23:55:00","1","1","12","Pune","Insulated Door Bag"
"2024-03-05 04:55:00","0","0","12","Pune","Insulated Door Bag"
"2024-03-05 23:55:00","5","4","7","Pune","Insulated Door Bag"
"2024-03-06 04:55:00","1","1","6","Pune","Insulated Door Bag"
"2024-03-06 23:55:00","2","2","9","Pune","Insulated Door Bag"
"2024-03-07 04:55:00","1","1","7","Pune","Insulated Door Bag"
"2024-03-07 23:55:00","2","2","6","Pune","Insulated Door Bag"
"2024-03-08 04:55:00","0","0","6","Pune","Insulated Door Bag"
"2024-03-08 23:55:00","2","2","4","Pune","Insulated Door Bag"
"2024-03-09 04:55:00","0","0","4","Pune","Insulated Door Bag"
"2024-03-09 23:55:00","3","3","1","Pune","Insulated Door Bag"
"2024-03-10 04:55:00","1","1","0","Pune","Insulated Door Bag"
"2024-03-10 23:55:00","0","1","1","Pune","Insulated Door Bag"
"2024-03-11 04:55:00","0","0","1","Pune","Insulated Door Bag"
"2024-03-11 23:55:00","1","1","0","Pune","Insulated Door Bag"
"2024-03-12 04:55:00","0","0","0","Pune","Insulated Door Bag"
"2024-03-12 23:55:00","0","0","0","Pune","Insulated Door Bag"
"2024-03-13 04:55:00","1","1","-1","Pune","Insulated Door Bag"
"2024-03-13 23:55:00","1","1","-1","Pune","Insulated Door Bag"
"2024-03-14 04:55:00","1","1","-2","Pune","Insulated Door Bag"
"2024-03-14 23:55:00","1","1","-2","Pune","Insulated Door Bag"
"2024-03-15 04:55:00","0","0","-2","Pune","Insulated Door Bag"
"2024-03-15 23:55:00","0","0","-2","Pune","Insulated Door Bag"
"2024-03-16 04:55:00","1","1","-3","Pune","Insulated Door Bag"
"2024-03-16 23:55:00","1","1","-3","Pune","Insulated Door Bag"
"2024-03-17 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-17 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-18 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-18 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-19 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-19 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-20 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-20 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-21 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-21 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-22 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-22 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-23 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-23 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-24 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-24 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-25 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-25 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-26 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-26 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-27 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-27 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-28 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-28 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-29 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-29 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-30 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-30 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-31 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-03-31 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-01 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-01 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-02 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-02 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-03 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-03 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-04 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-04 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-05 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-05 23:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-04-06 04:55:00","0","0","-3","Pune","Insulated Door Bag"
"2024-01-08 23:55:00","64","65","91","Pune","New FF A2 500ml"
"2024-01-09 04:55:00","63","63","10000","Pune","New FF A2 500ml"
"2024-01-09 23:55:00","64","65","76","Pune","New FF A2 500ml"
"2024-01-10 04:55:00","67","67","10000","Pune","New FF A2 500ml"
"2024-01-10 23:55:00","68","68","92","Pune","New FF A2 500ml"
"2024-01-11 04:55:00","62","62","10000","Pune","New FF A2 500ml"
"2024-01-11 23:55:00","56","58","87","Pune","New FF A2 500ml"
"2024-01-12 04:55:00","63","63","10000","Pune","New FF A2 500ml"
"2024-01-12 23:55:00","61","61","85","Pune","New FF A2 500ml"
"2024-01-13 04:55:00","57","57","10000","Pune","New FF A2 500ml"
"2024-01-13 23:55:00","56","57","54","Pune","New FF A2 500ml"
"2024-01-14 04:55:00","63","63","10000","Pune","New FF A2 500ml"
"2024-01-14 23:55:00","63","63","82","Pune","New FF A2 500ml"
"2024-01-15 04:55:00","61","61","10000","Pune","New FF A2 500ml"
"2024-01-15 23:55:00","58","58","82","Pune","New FF A2 500ml"
"2024-01-16 04:55:00","64","64","10000","Pune","New FF A2 500ml"
"2024-01-16 23:55:00","59","59","72","Pune","New FF A2 500ml"
"2024-01-17 04:55:00","58","58","10000","Pune","New FF A2 500ml"
"2024-01-17 23:55:00","54","54","81","Pune","New FF A2 500ml"
"2024-01-18 04:55:00","61","61","10000","Pune","New FF A2 500ml"
"2024-01-18 23:55:00","61","61","70","Pune","New FF A2 500ml"
"2024-01-19 04:55:00","56","56","10001","Pune","New FF A2 500ml"
"2024-01-19 23:55:00","54","54","66","Pune","New FF A2 500ml"
"2024-01-20 04:55:00","64","64","10000","Pune","New FF A2 500ml"
"2024-01-20 23:55:00","56","58","84","Pune","New FF A2 500ml"
